Name,ESG ,E,S,G
BTC,C,E,A,B
ETH,B,A,D,C
USDT,A,A,A,A
USDC,A,A,A,B
BNB,B,A,A,D
ADA,B,A,B,B
XRP,C,A,D,E
SOL,C,A,E,D
DOGE,D,E,E,B
DOT,C,A,E,D
DAI,A,A,A,B
TRX,C,A,E,E
SHIB,C,A,E,D
AVAX,B,A,D,C
LTC,D,E,B,B
FTT,B,A,D,D
XLM,C,A,E,D
LINK,B,A,C,D
MATIC,B,A,B,D
BCH,C,E,B,B
UNI,B,A,C,C
ALGO,B,A,C,C
VET,B,A,B,D
HBAR,C,A,D,E
SAND,B,A,D,C
MANA,A,A,B,B
AXS,B,A,D,D
XTZ,B,A,E,C
EOS,B,A,E,C
AAVE,B,A,B,C
HT,C,B,D,D
GRT,B,A,C,C
FTM,B,A,C,C
PAXG,B,A,B,B
ZIL,B,A,D,D
BAT,B,A,A,C
CHZ,B,A,C,B
ENJ,B,A,B,D
LRC,B,A,B,C
GALA,C,A,E,D
COMP,B,A,C,B
